"id_pessoa";"idade_pessoa";"salario_pessoa";"propriedade_pessoa";"tempo_trabalho";"id_emprestimo";"motivo_emprestimo";"nivel_emprestimo";"total_emprestimo";"taxa_juros";"possibilidade_inadimplencia";"renda_percentual";"id_historico";"inadimplencia_historico";"tempo_ultimo_credito"
"jhaQRqda-mY1Y";36;17640;"Propria";4.0;"5s0fcpFg-g0mb";"Melhora do lar";"A";5875;7.9;1;0.33;"8v1136Sf-XKeP";"nao";12
"lv8H6G15-Se8X";26;46000;"Alugada";3.0;"tJsYsXbT-vHxw";"Pessoal";"D";8000;14.42;1;0.17;"QHDFOoks-ua5c";"nao";2
"i9iksW9Y-tkJa";29;48000;"Alugada";6.0;"LfMIFPSE-pWR8";"Medico";"B";6025;10.65;0;0.13;"o5KRWkiH-YgLe";"nao";9
"dZBbkLNX-om0i";21;68100;"Hipotecada";5.0;"NScB1jFh-kYp5";"Pagamento de debitos";"E";17500;17.19;1;0.26;"DLBshz0k-oTFW";"nao";4
"eC8njlx9-Y5N9";35;58800;"Hipotecada";5.0;"Q9WbLTWl-JQ6s";"Medico";"D";12000;15.7;1;0.2;"4zHoN6Sq-2RdN";"nao";9
"lTkW3jxx-2wp7";26;62000;"Hipotecada";0.0;"LUmvSJid-6sq0";"Pessoal";"A";12000;7.9;0;0.19;"Xe2BxX7J-XYUR";"nao";2
"ImGGrAcq-RpQu";28;65000;"Hipotecada";3.0;"zOAYNvn8-PjLT";"Empreendimento";"A";10000;7.49;0;0.15;"B1IuG65T-pprJ";"nao";5
"x5fZpRW8-KxcG";26;130000;"Alugada";0.0;"deoMxCug-2jDq";"Educativo";"B";4000;10.99;0;0.03;"SPdliOD4-Xkmj";"nao";3
"b0SrSNQa-NBrj";27;18000;"Hipotecada";0.0;"qistsGyx-WLLz";"Empreendimento";"A";2000;7.88;0;0.11;"T5nbASsY-To2m";"nao";5
"SUu7ki8p-oUrX";24;45000;"Alugada";3.0;"DdF6j7GK-p4GJ";"Pessoal";"A";7800;7.51;0;0.17;"ZkUdQE79-J78n";"nao";3
"bfdYIj0n-wH3O";42;58000;"Alugada";16.0;"LTKJJdUo-UbU1";"Pagamento de debitos";"C";7500;12.99;0;0.13;"jWuFBvdY-JyxK";"nao";17
"cOCKKp0N-1Xgp";26;130000;"Hipotecada";2.0;"kI06bJis-7TUq";"Medico";"A";18000;7.9;0;0.14;"AuHjshBD-m5wf";"nao";2
"IjILWhlh-r9ug";25;92000;"Alugada";5.0;"F4cG91oZ-YyzU";"Melhora do lar";"C";12000;13.43;0;0.13;"lir2dxdF-1HeB";"nao";3
"wMoY1ydA-mQXF";31;41004;"Alugada";5.0;"zwOGJAS7-pjy6";"Pessoal";"D";5000;15.28;0;0.12;"7wQjB3nT-zSvF";"nao";5
"eIbmNj1f-XXQ0";22;60000;"Outros Casos";0.0;"7Jf1gaH7-UvKz";"Medico";"B";10625;6.92;1;0.35;"6Raip3Ji-6mQC";"";2
"70H8ym5H-MaSn";31;351699;"Alugada";7.0;"2YOiKB8U-fzaK";"Melhora do lar";"D";10500;15.7;0;0.03;"cZt8BkZE-bT6a";"nao";9
"mMgY4GOF-zG0r";21;40000;"Alugada";2.0;"WhXxnztx-XegS";"Pagamento de debitos";"B";8000;9.63;0;0.2;"XdKbuzZe-lUHb";"nao";2
"Ya4m97qM-bWLu";37;46000;"Hipotecada";9.0;"CSmrC3uA-mBeC";"Educativo";"B";5000;10.75;0;0.11;"UN4XiMsm-YiNM";"nao";14
"KjawoxqL-v4Ny";25;96901;"Alugada";3.0;"Gl0ouKBw-SvrP";"Pessoal";"C";20000;0.0;1;0.21;"w8EQ0CEM-5FlB";"nao";3
"UyWdfZj9-LdyA";25;37200;"Hipotecada";0.0;"hy4DqMbS-Lc3M";"Educativo";"B";10000;9.91;0;0.27;"TlY8Fj8a-zasL";"nao";3
"xOEsUBSq-pCxW";24;63000;"Hipotecada";0.0;"smtudfMx-ckbS";"Empreendimento";"B";6000;9.91;0;0.1;"mB38ww2q-vuD3";"nao";4
"LFROdwZz-PqGx";25;36000;"Alugada";8.0;"8JIzYNnY-J70f";"Pessoal";"A";3350;7.9;0;0.09;"lMnh5X72-WmHp";"nao";4
"zFaMnsBR-9qLF";26;22000;"Alugada";9.0;"TXcETash-N7na";"Medico";"D";10000;14.59;1;0.45;"ThqKnuOL-Rc5N";"sim";2
"PLIpBTma-yRyp";38;20640;"Alugada";2.0;"Mu2bKB5T-JBq3";"Medico";"C";3500;12.61;0;0.17;"Ala4noqK-9IyA";"sim";16
"6AewHBtQ-GnAS";25;52000;"Alugada";4.0;"SG0baqQi-mrHY";"Empreendimento";"D";6000;14.96;0;0.12;"0zuqoU9R-1vGS";"sim";2
"miN7eRuK-lWqr";26;19500;"Alugada";0.0;"TxJXSjCU-edTR";"Medico";"C";500;11.41;0;0.03;"WxA093oT-IaDL";"nao";2
"5ZBDAMFF-Yx9O";30;54383;"Alugada";5.0;"fTrj9uRG-DZgA";"Melhora do lar";"D";25000;15.65;1;0.46;"1wYQ8z3r-576Y";"sim";7
"rnR0gKr4-GN14";45;107473;"Alugada";0.0;"mAiAzZXY-rDe9";"Medico";"C";4800;12.23;0;0.04;"aaPoaB0I-zfdP";"sim";11
"0arvB7pF-mh6r";24;75000;"Hipotecada";4.0;"PcWB2Bet-UBw9";"Pagamento de debitos";"C";11200;13.99;0;0.15;"milej0Q5-WWnM";"sim";4
"8EePooT6-1PHK";27;59578;"Alugada";11.0;"woSCHWv4-D2u6";"Melhora do lar";"D";6000;14.59;0;0.1;"OZSbtPkX-4dbW";"sim";7
"eoDdwP5K-v10h";25;150000;"Hipotecada";9.0;"ObW8cQP8-mdHt";"Pagamento de debitos";"A";12000;0.0;0;0.08;"UsxMiwOm-WvtF";"nao";4
"DafdZGTG-4XkA";26;81000;"Hipotecada";10.0;"rDWidxnr-Jt4x";"Pagamento de debitos";"A";10750;8.49;0;0.13;"AR5IIfSw-xlqv";"nao";2
"sXM5extx-qgk6";28;50000;"Propria";3.0;"gvcR4c7s-c7qc";"Educativo";"A";3200;8.49;0;0.06;"RL9H82ga-eBn5";"nao";5
"QJplwbO1-gWzj";26;37800;"Hipotecada";10.0;"edk1hOiZ-WgEu";"Melhora do lar";"D";10206;9.99;0;0.27;"LgYOdlmi-gTrF";"";27
"C8FZn8Jc-Kxom";26;57000;"Alugada";2.0;"gOv8fEql-9WrS";"Empreendimento";"A";10000;7.9;0;0.18;"nMyH0BHv-RkmB";"nao";4
"gB6jOoGL-QbG3";24;80000;"Hipotecada";8.0;"aM8XceiD-vP3U";"Melhora do lar";"A";18000;7.9;0;0.23;"LxdxKU6l-4mtS";"nao";2
"hNggh8Wl-G96w";24;95000;"Hipotecada";2.0;"IqN2EtuE-06qd";"Educativo";"A";5000;7.88;0;0.05;"9yCnAwXJ-w4xO";"nao";3
"7LMDK0YR-ajcf";25;30000;"Alugada";0.0;"x9Cxqz2x-Y1D7";"Pagamento de debitos";"A";3250;5.42;0;0.11;"Nj8qpDJC-RS2v";"nao";3
"JAWt1bxk-u8Wa";22;40000;"Alugada";6.0;"8H16ONey-6RR1";"Pessoal";"D";13225;16.77;1;0.33;"iXWm5eKz-azIT";"sim";2
"bgWIE6Fp-IOfY";26;75000;"Hipotecada";3.0;"8L7tsXk9-DmrO";"Empreendimento";"C";3500;12.99;0;0.05;"rwQsJE8d-dqQe";"sim";3
"SK6CRjPJ-jheG";22;80000;"Hipotecada";1.0;"haBtnmK8-5wct";"Educativo";"A";2000;0.0;0;0.03;"FSFeInmA-7yRW";"nao";4
"Ka1Sewo7-KNYL";21;54000;"Alugada";0.0;"wfBx4FAA-grtO";"Empreendimento";"D";1600;14.96;1;0.03;"mmohSeBw-MRE7";"nao";4
"ICUaH8FA-YeOi";27;52000;"Hipotecada";5.0;"K5mKzdoI-dKmr";"Pessoal";"A";10000;7.29;0;0.19;"ITx7QIBy-IFKT";"nao";7
"yZdJUGUN-gnQP";23;45000;"Alugada";7.0;"mGalP6ye-jxec";"Empreendimento";"A";2000;7.05;0;0.04;"OcF8S57a-s5jH";"nao";3
"B8abIeci-vdG1";30;60000;"Hipotecada";2.0;"afun25tG-okgG";"Pessoal";"B";10000;12.69;0;0.17;"terDFn3q-TQj6";"nao";5
"oEKE3BBJ-JvKM";29;64320;"Hipotecada";13.0;"U6UBQOIq-uoO1";"Medico";"A";8000;6.03;0;0.12;"mZ07n4WL-0Kql";"nao";9
"PMXfEjzu-HsEk";31;60000;"Alugada";2.0;"WZ45dmA5-nd8j";"Pessoal";"A";4750;5.99;0;0.08;"eoadoleG-MFk8";"nao";8
"OIrmfrPh-FLYj";31;116400;"Alugada";3.0;"DzHM4twl-5ZfK";"Pessoal";"B";8900;10.0;0;0.08;"ZUrEZOHx-tfmK";"nao";5
"HnJ6hsi3-FKe7";26;130000;"Hipotecada";10.0;"I5k9Tm1y-58Wa";"Medico";"B";4000;10.99;0;0.03;"g4cBrMvg-F3Gj";"nao";3
"4AvhxX6Q-41Ed";23;60000;"Hipotecada";7.0;"qRHMJ6s0-8Rxn";"Empreendimento";"B";2450;11.48;0;0.04;"X5PhpeXx-gnvZ";"nao";2
"QUumIN77-A3ko";28;36928;"Propria";2.0;"MEQdG0v3-dDE7";"Medico";"D";7800;15.58;0;0.21;"ytmrioUk-siUu";"sim";9
"unI1tvjS-KAa2";22;48000;"Alugada";6.0;"5XGur840-wWap";"Medico";"A";16500;8.9;1;0.34;"gS9WGeWO-erP3";"nao";4
"SEKYovDZ-ywIl";28;48500;"Alugada";3.0;"fSwAmZrA-jcFk";"Empreendimento";"D";7500;12.86;0;0.15;"LGXmqmkW-Qrqa";"nao";7
"WA6Mc9aG-Fxf3";25;145000;"Alugada";0.0;"MqPmlU0C-tXnj";"Educativo";"B";25000;9.99;0;0.17;"nwNvbUNx-sptF";"nao";4
"OiyTF2nl-hOwi";31;45000;"Alugada";0.0;"dftZf3u6-Xc9m";"Educativo";"C";4000;13.43;0;0.09;"lihdB6Bh-jlG7";"nao";6
"oi6lMoEq-vIs0";24;7500;"Alugada";0.0;"qALgXMa1-gwUL";"Melhora do lar";"C";1200;13.48;1;0.16;"NcQrzKQf-ib1j";"nao";4
"H7KHrbsl-bG7L";22;25600;"Alugada";5.0;"87KDcOWm-30I2";"Empreendimento";"A";9000;8.9;1;0.35;"4pPzIyxo-SjNy";"nao";4
"dMi1zv3m-Agoo";23;45000;"Alugada";4.0;"F17PPq9A-beYa";"Educativo";"A";9000;5.99;0;0.2;"JQFujnlq-dvke";"nao";3
"yWfH6xzL-PdD4";22;29000;"Alugada";5.0;"iv1CvYGv-Ruor";"Educativo";"D";4000;15.33;1;0.14;"PXumb83v-CPDJ";"sim";4
"DF3GWPX2-9IFQ";22;46320;"Hipotecada";6.0;"ItTdfun5-Dtrg";"Pagamento de debitos";"D";15000;12.86;1;0.32;"RIMAvyNI-AmI3";"sim";4
"y1EdgoZS-ecd0";23;91000;"Hipotecada";5.0;"dxjJDqiU-JwUn";"Empreendimento";"D";10000;16.32;0;0.11;"sInr6Stt-LkN8";"sim";3
"HUDJl2vo-dfA1";31;36000;"Alugada";3.0;"M1DBL1sL-nREb";"Pagamento de debitos";"A";6000;8.9;0;0.17;"o99NM8tq-Gs2X";"nao";9
"vCTv4aJy-MX3D";24;44000;"Propria";8.0;"jsrWvFPX-6l2a";"Pessoal";"D";9000;15.31;0;0.2;"CSJbiSRE-0ycY";"sim";2
"YtHRbEp4-Z8mF";26;88000;"Alugada";0.0;"ML2hC8o2-fw0k";"Empreendimento";"E";16000;17.88;1;0.18;"D2ZRcKLw-u6wp";"sim";4
"jDAbR4yH-agLT";31;201000;"Hipotecada";3.0;"RtlW23oF-cYZZ";"Pessoal";"B";15000;11.12;0;0.07;"3RP5yd4b-ydEG";"nao";5
"8wB0JEMh-SKAt";26;48000;"Alugada";1.0;"9slWYyPN-f7Ow";"Pessoal";"E";15000;18.64;1;0.31;"6ZHnmdeq-Qfdf";"sim";3
"zhso3YP2-HOzi";43;32000;"Alugada";0.0;"7AZnN9vi-teu0";"Empreendimento";"A";6400;7.49;0;0.2;"bCJl0fIP-GIKy";"nao";16
"rAlftN7w-2i2F";28;43200;"Alugada";1.0;"Q87kSgji-1oQQ";"Educativo";"A";3000;7.49;0;0.07;"yhZAT2dS-9NQd";"nao";7
"PNpSIMBF-j6qW";30;60000;"Propria";3.0;"gzjrdrSX-ZenI";"Melhora do lar";"A";21000;7.9;0;0.35;"wArSMUwN-1lCd";"nao";5
"75gqqiPK-h76n";23;60000;"Hipotecada";7.0;"k6YMf4Qz-Zl9U";"Educativo";"A";10000;6.03;0;0.17;"bmUagif6-Bk4P";"nao";3
"fH4HqWyy-Plm8";35;100596;"Hipotecada";2.0;"6dQUU3Fn-fjfw";"Pessoal";"B";25000;10.59;0;0.25;"2rEKv0p1-3Elk";"nao";8
"2bicPcgm-DAD0";26;41784;"Alugada";0.0;"rHvL1UG9-FCzH";"Educativo";"B";11500;10.95;0;0.28;"jjXI4lr3-Fjy1";"nao";4
"9CKjHsC0-rw0a";31;87500;"Alugada";4.0;"MMRH6k7F-x2O6";"Pagamento de debitos";"B";6000;11.99;0;0.07;"tJpedm33-hXtk";"nao";5
"1PlUc0s7-34sy";24;87996;"Alugada";8.0;"kHGYRJS1-zX72";"Pagamento de debitos";"D";10000;14.84;1;0.11;"cnsI41OI-cHxY";"sim";2
"nR98AjRj-yOMT";30;93000;"Hipotecada";11.0;"71orZcfT-GuOv";"Melhora do lar";"C";18000;15.23;0;0.19;"iXecM0d9-Fl3F";"nao";9
"7Ws5u5tx-7YuA";26;51000;"Hipotecada";10.0;"h5FvfAth-TSGG";"Pagamento de debitos";"D";13000;15.33;1;0.25;"pvuArDQA-1wl1";"sim";2
"ogjMKbXG-5zur";30;80000;"Alugada";0.0;"ufgSGcOm-28OW";"Medico";"A";8900;6.17;0;0.11;"sNpCzz99-m27R";"nao";10
"BhJ6Hi7u-hQSR";30;60000;"Alugada";4.0;"I3F20UdJ-MmRz";"Pessoal";"B";12000;10.99;0;0.2;"zyvFQhMY-yK0c";"nao";10
"sa4L9va2-vQnF";25;80000;"Alugada";9.0;"sIwAikBO-EZd5";"Empreendimento";"B";2000;11.49;0;0.03;"lOKj9TbL-87vh";"nao";3
"EZz4jHh3-ZxQa";23;45000;"Hipotecada";1.0;"FUai5tag-fytJ";"Medico";"B";10000;12.21;0;0.22;"QMsxBbd7-JPH7";"nao";2
"6lcbCSbE-dQfL";29;72000;"Alugada";3.0;"Yu29dshX-QkrD";"Melhora do lar";"E";4000;18.79;0;0.06;"BXSUoiOM-OK6H";"nao";6
"4NmXuFcw-uYow";44;59000;"Alugada";1.0;"ehjz44AF-jmGH";"Educativo";"D";10000;15.62;1;0.17;"QqN3gOn3-uYwN";"nao";13
"qh4GBaHo-nCri";21;31200;"Alugada";1.0;"YQOlZ2vp-DAGy";"Pagamento de debitos";"D";6000;16.89;1;0.19;"u1wLbeMz-xU2r";"nao";3
"6JQpcQcb-hleE";30;39962;"Hipotecada";5.0;"182M2BSN-04El";"Pagamento de debitos";"B";3200;9.7;0;0.08;"EOhylPn9-uYIp";"nao";7
"WA96pXu6-oiAe";24;30000;"Alugada";5.0;"6L08IzTc-brpD";"Empreendimento";"C";8000;14.26;0;0.27;"M4YrXvqQ-5za5";"sim";2
"qzZ7QTIv-SC3Y";23;62000;"Alugada";7.0;"rmbc2prQ-LgCY";"Pagamento de debitos";"B";14000;10.99;0;0.23;"kNYe4tk4-w8RB";"nao";4
"bf0TvMv7-fhLp";27;125000;"Hipotecada";7.0;"KwaOJGnn-GlzA";"Melhora do lar";"D";20000;0.0;0;0.16;"FKAgFmML-EK8Y";"sim";5
"wmlTv5nt-mBpr";39;53000;"Alugada";15.0;"jOoEtTOk-iJ3i";"Educativo";"A";6500;7.29;0;0.12;"lk2BD3Uq-HbP3";"nao";17
"mg0eJP1K-ZaF1";45;27012;"Hipotecada";20.0;"KX9cjqGn-nUrc";"Pessoal";"A";6000;5.99;1;0.22;"FHCCEsbq-dnc3";"nao";13
"Dk4KiNTs-fIWB";26;30000;"Alugada";0.0;"2jXACCxa-BEX8";"Empreendimento";"A";14500;7.66;1;0.48;"WiT1I5bR-68i1";"nao";2
"stCXDwzf-erQp";36;155000;"Hipotecada";9.0;"Cw6uNy31-J8XZ";"Pagamento de debitos";"A";30000;7.9;0;0.19;"s7goWwfc-aWWm";"nao";17
"mA39783l-Sh0L";28;50000;"Alugada";1.0;"BhvBEWXO-C6y3";"Medico";"C";16200;13.99;1;0.32;"rrfTMpiY-CrRQ";"sim";5
"MCdQKNkj-QDS9";21;40000;"Alugada";0.0;"jBDbE4Kf-POsS";"Medico";"A";4200;7.51;0;0.1;"8jlC3mTs-BRw3";"nao";4
"pjfnligm-5C0T";28;97000;"Hipotecada";9.0;"IjOlD4u7-I4GQ";"Empreendimento";"A";12000;8.49;0;0.12;"6QE5A1Zp-e4fJ";"nao";5
"50MlXshr-1y7D";23;74800;"Alugada";1.0;"YkYyRcOX-fLMD";"Medico";"E";20000;17.04;1;0.23;"ASF9xjnc-k0rD";"sim";3
"zirj0E01-8TLx";27;43500;"Hipotecada";0.0;"msrLWugz-Q4dQ";"Medico";"B";1200;0.0;0;0.03;"PriUH1wg-WhgQ";"nao";5
"wFsYzkw5-h7fQ";23;45000;"Hipotecada";3.0;"rJRWU9eT-88hS";"Educativo";"C";16750;12.53;0;0.37;"fo314qiP-vN8d";"sim";3
"PqMIsAud-56ig";35;88000;"Hipotecada";4.0;"MCPXAnP3-qwge";"Pessoal";"D";10000;14.11;1;0.11;"4J3RxO2a-ckSZ";"sim";6
"rPOvHlov-hQm4";28;288000;"Alugada";5.0;"nzwlsOuu-X6rn";"Pagamento de debitos";"E";25000;17.93;1;0.09;"vWAIqgiw-Ivz7";"nao";8
"hFSiQcHh-1urO";36;100000;"Hipotecada";5.0;"MYDHpZ6D-DqPA";"Medico";"A";9350;7.51;0;0.09;"5b3j4awb-xeBG";"nao";14
"NvMtMFjG-EFDk";23;27000;"Propria";4.0;"v850UaS3-ulo3";"Empreendimento";"A";6400;7.9;0;0.24;"AMKp9Kag-v8Lm";"nao";2
"YdRXb9Am-2aO4";25;60000;"Hipotecada";9.0;"M7IYfOOD-mwyH";"Educativo";"A";12000;7.9;0;0.2;"Qxh3ck9t-BcAa";"nao";3
"9xfAFZua-Fg74";24;65000;"Alugada";0.0;"r1hMSfkF-BcwJ";"Pagamento de debitos";"A";4000;7.51;0;0.06;"rRNBtIWW-xyro";"nao";3
"dddb5q2N-g2vj";24;48000;"Hipotecada";4.0;"C35NjzDQ-320r";"Empreendimento";"A";5000;5.99;0;0.1;"HKsidh4b-FHue";"nao";4
"EfFmCzEE-U3zf";36;65000;"Hipotecada";3.0;"wl4DLleb-6qdg";"Empreendimento";"A";6500;5.79;0;0.1;"ElbimIE6-IN8Z";"nao";16
"1rjl0xuS-NjrS";27;22800;"Alugada";5.0;"pdnDQm4T-wT25";"Pessoal";"C";3500;13.99;1;0.15;"GDhy5CK5-nF50";"sim";10
"wRi99u6D-Y3S7";46;80409;"Alugada";2.0;"WB7c0FT7-Dt6q";"Educativo";"A";14550;8.94;0;0.18;"yqcln1WP-FKYA";"nao";11
"CEWhSAoE-iCzZ";27;113800;"Hipotecada";3.0;"DfhTWaiF-brp9";"Medico";"A";7500;8.63;0;0.07;"B0x1PCB4-elXn";"nao";10
"DSPH8tkx-LQUo";23;55000;"Alugada";1.0;"ANPduiSn-CsfQ";"Medico";"A";8000;5.42;0;0.15;"I5HbCMDU-6M80";"nao";4
"fdh90s7F-uA9z";31;66000;"Alugada";9.0;"fM6cHqS9-XKES";"Melhora do lar";"B";2550;11.36;0;0.04;"ruWARtGZ-bsMc";"nao";10
"uUhFQySZ-x4Eo";32;77000;"Hipotecada";14.0;"seLv8b84-6RiX";"Pagamento de debitos";"B";23000;11.49;1;0.3;"I3fL0ClN-2e1r";"nao";6
"6RSjZ527-8pbL";27;47000;"Alugada";0.0;"gBnzX65I-8EGX";"Pagamento de debitos";"A";15000;8.49;1;0.32;"xDQU1Ehb-RC9S";"nao";10
"GCh1YbLJ-eWlH";24;51000;"Alugada";6.0;"TMPTP0a6-SGiM";"Medico";"B";15000;11.12;0;0.29;"gbsrKtyR-4poH";"nao";2
"M4n1eWux-Q9Pa";29;56000;"Hipotecada";4.0;"G6rEjP6b-d0Jh";"Medico";"B";8000;11.49;1;0.14;"dicWGdDY-FlGP";"nao";5
"cblIIWjW-CYjk";24;67000;"Propria";2.0;"DZCqeO8n-6nMQ";"Medico";"B";16000;12.69;0;0.24;"0DNDXkkq-RhxH";"nao";4
"lBSnE6mR-kcCX";22;31404;"Alugada";0.0;"rE80jQCS-adPv";"Pessoal";"A";5000;7.51;0;0.16;"lZ3pTrWG-lY5n";"nao";3
"ZEx1vosD-LGtt";32;62900;"Hipotecada";5.0;"ltfqWu7C-wrEK";"Medico";"D";2750;0.0;1;0.04;"BFIG44Jt-v5w3";"sim";7
"eh8IXChS-LsCL";32;72500;"Hipotecada";4.0;"IflIm0sK-5JHo";"Melhora do lar";"A";4000;5.42;0;0.06;"lljm74CU-YxsM";"nao";10
"w3E0DrNt-I810";30;69996;"Hipotecada";14.0;"dSo1SiMC-HJbL";"Pessoal";"B";11250;12.21;0;0.16;"N187D124-LSPX";"nao";10
"ruFfB6QI-epxw";30;37200;"Hipotecada";0.0;"jPtTkIBP-Hfi9";"Medico";"C";6600;13.49;0;0.18;"DIMB4vQd-4qR3";"nao";9
"frjluzek-uh1t";38;18720;"Propria";22.0;"NQ5CytLm-La6u";"Empreendimento";"B";2500;11.86;0;0.13;"2wwGOood-ay0a";"nao";15
"QlZFUPen-btU3";25;45000;"Alugada";2.0;"rChKAExk-HiFx";"Pessoal";"C";11100;13.11;0;0.25;"JzxgxFzU-owbs";"nao";2
"4ewAeAuM-YnO1";32;110000;"Hipotecada";0.0;"ca5RFsu9-FAQ7";"Empreendimento";"B";23000;11.48;0;0.21;"yn5rRPps-QhOd";"nao";9
"2Bq3I4Kc-ush5";27;51000;"Propria";11.0;"UJSPh71I-J2zp";"Empreendimento";"A";18000;7.49;0;0.35;"9GwpwFC9-i5fH";"nao";8
"RQkaABgY-QRXD";28;45000;"Hipotecada";12.0;"zgJfrXes-PtfZ";"Melhora do lar";"A";8000;7.49;0;0.18;"LSGTwmBu-nimR";"nao";8
"Mxdq3QPc-E56B";23;65000;"Alugada";3.0;"n7Bclyay-uqXv";"Medico";"B";8500;12.21;0;0.13;"foTEj1ta-EOLB";"nao";2
"yhlsFWrN-Ar1s";21;24000;"Alugada";3.0;"dsQEfNjo-E6l2";"Pagamento de debitos";"C";3200;13.57;0;0.13;"rUcyjN0G-JH8T";"nao";4
"nv6hIgOj-3fmo";23;61200;"Hipotecada";2.0;"Pn6FX99B-1spf";"Empreendimento";"A";9000;0.0;0;0.15;"gL55biRI-vT2J";"nao";2
"gYdGQ0RS-NaWI";25;62204;"Alugada";3.0;"wmQDBGGY-NRUQ";"Empreendimento";"D";12000;14.11;0;0.19;"UjZhEH1v-Q7I4";"sim";2
"kRR7iD4a-kJGd";51;52250;"Alugada";4.0;"gCYp7Unh-28xW";"Empreendimento";"C";9200;13.61;0;0.18;"9IWsGm3R-uQWc";"nao";24
"RkxMblEl-htWD";29;36000;"Hipotecada";6.0;"MYlCvHNB-js25";"Pessoal";"A";8000;6.54;1;0.22;"dwMlcdoc-Ei6L";"nao";8
"HNu47BQ6-3uEF";22;60000;"Hipotecada";0.0;"9joZDWBD-CnDu";"Educativo";"A";10000;5.99;0;0.17;"61dkDOHL-DowI";"nao";2
"Q5PwyheO-2wo9";30;51996;"Hipotecada";5.0;"YrI1iibr-DbQC";"Pessoal";"A";3200;6.99;0;0.06;"InABTdMR-cA2T";"nao";5
"dbYjNt5C-zSMm";23;50000;"Alugada";0.0;"3uw0voip-oAPl";"Empreendimento";"C";8000;0.0;0;0.16;"kdBWwCcC-lnit";"nao";4
"MHSOSbUI-yc26";25;92000;"Alugada";6.0;"nrvRB6kv-C2cz";"Melhora do lar";"B";25000;12.69;0;0.27;"yRhJbRI8-Xcft";"nao";3
"5xQMuiSy-t5Xs";33;44400;"Hipotecada";3.0;"l7QhGRMT-a0GF";"Empreendimento";"C";2000;14.22;1;0.05;"9qbiWH40-hYCT";"sim";9
"jY5qgZ99-I5Gh";20;92000;"Hipotecada";0.0;"XB97z9zg-05Q5";"Medico";"A";10000;7.74;0;0.15;"FGefAaNm-xv2M";"nao";7
"cN9jtQ7S-Qh4r";23;25000;"Alugada";3.0;"5KoeG8iS-k61H";"Empreendimento";"B";10000;11.83;1;0.4;"IaMETXaW-vPBO";"nao";3
"QDzE0OxA-xswe";28;48000;"Hipotecada";4.0;"3dA2Bw62-cZD1";"Empreendimento";"B";3000;11.99;0;0.06;"6vbLTtuY-BpX3";"nao";6
"MH7PxZKo-B8HJ";21;36000;"Alugada";0.0;"2MasYlUy-muyk";"Educativo";"A";4500;6.62;0;0.13;"9OwH2Xfd-EOnI";"nao";2
"UglL9j3D-X0Lc";45;54000;"Hipotecada";1.0;"n1A5FNwJ-DP2T";"Educativo";"D";7750;16.07;1;0.14;"F2B9UEaL-Ayij";"nao";13
"9qABlZj8-noC5";35;42353;"Hipotecada";0.0;"nzsBxpNt-sI3e";"Outro";"B";7200;10.59;0;0.17;"2NmWYDuT-y55p";"nao";3
"Nyd1JHXd-NAap";46;80000;"Hipotecada";3.0;"7so95Pi9-75qW";"Melhora do lar";"A";10000;6.17;0;0.13;"l91n6nNd-fhoL";"nao";13
"LjXtd0id-2uNT";35;110000;"Alugada";0.0;"di4UzNlc-cAYt";"Medico";"B";15000;11.11;0;0.14;"QLjLYsN1-8PeU";"nao";8
"zGLpfwF3-TJSA";32;64052;"Alugada";3.0;"wJ2r0owv-A8Mg";"Melhora do lar";"B";21137;13.79;1;0.33;"onKcmrB0-BQNW";"";2
"2AoleXfn-xcvN";28;84000;"Alugada";7.0;"wNnpJxrW-jJf4";"Pessoal";"E";25000;15.95;0;0.3;"SnE0EBsT-YiKA";"sim";7
"GmL2unPc-bGMj";21;39760;"Alugada";0.0;"TyX8N95D-BCE2";"Pessoal";"D";12000;16.07;1;0.3;"max4U7Xx-PUKb";"sim";2
"8mFH2azm-iToO";34;57000;"Alugada";1.0;"wg3zYaft-2PDd";"Educativo";"B";10000;11.14;0;0.18;"2bx1N8UX-IoDj";"nao";8
"WLC7KQXt-BQQ8";27;19200;"Alugada";4.0;"1jdADNRx-W8sW";"Pessoal";"A";1500;7.14;0;0.08;"J8n24Yya-FeiU";"nao";10
"ZlmW4uHq-nInN";46;60070;"Alugada";2.0;"oaGPwD7C-sMrK";"Pessoal";"C";5500;14.22;0;0.09;"TL3KHlho-zUdJ";"sim";17
"QkjAFv5X-zR7F";23;96000;"Hipotecada";2.0;"gFOEoDLu-ecEx";"Pessoal";"A";7000;5.79;0;0.07;"1RynY0W1-iFpu";"nao";3
"F1rBEYUP-Nug5";29;74000;"Alugada";3.0;"z0GOZxz2-ecqD";"Educativo";"C";16000;13.11;1;0.22;"TPXdiwCf-47eW";"sim";6
"aRYQcMjp-sv2w";21;70000;"Alugada";0.0;"jQKbqzkH-MXfh";"Educativo";"";5500;6.76;0;0.09;"4ob1TFZl-Y2sp";"nao";9
"u5YhGawo-cSSe";23;51400;"Alugada";2.0;"CA7qZUwp-YZec";"Pessoal";"B";10000;10.65;0;0.19;"r4GCMiyH-gY2s";"nao";3
"kJ5A5UOO-4lWJ";26;48700;"Alugada";0.0;"RsltYuKc-dkD2";"Medico";"D";6000;14.59;1;0.12;"QdU8lbcm-5ZbS";"nao";3
